guid,gid,uid,vid
146,5843,2139,1
147,5877,2053,64
147,5468,2053,318
147,5991,2053,282
147,5089,2053,612
147,5638,2053,408
147,5937,2053,35
147,5089,2053,612
147,5919,2053,414
147,5877,2053,64
147,5098,2053,111
147,4998,2053,29
148,4984,2743,5
148,5903,2743,3
148,5285,2743,0
148,4996,2743,73
148,5900,2743,2
148,4979,2743,7
148,5843,2743,1
149,5829,3210,24
149,5829,3210,24
149,5244,3210,94
150,5244,2320,94
150,6004,2320,34
150,4937,2320,669
150,5937,2320,35
150,5244,2320,94
150,4890,2320,116
150,5930,2320,72
150,4948,2320,16
150,5897,2320,655
151,5842,3382,20
151,5778,3382,99
152,5092,3312,107
152,5011,3312,780
152,4782,3312,1006
153,5944,3115,550
153,5285,3115,0
153,5944,3115,550
153,5843,3115,1
154,5187,2063,668
154,5747,2063,710
154,5154,2063,976
154,5099,2063,186
154,5187,2063,668
154,5092,2063,107
154,5098,2063,111
154,5100,2063,176
154,5107,2063,252
154,5552,2063,547
154,5095,2063,330
155,5929,2234,77
155,5939,2234,553
155,5526,2234,110
155,5285,2234,0
155,5929,2234,77
155,5526,2234,110
155,5421,2234,49
155,5345,2234,472
155,5939,2234,553
155,5776,2234,30
156,5738,2807,540
156,5440,2807,296
156,5987,2807,306
156,5227,2807,237
156,5740,2807,182
156,5553,2807,189
157,5526,2642,110
157,5358,2642,682
157,5481,2642,268
157,5375,2642,588
157,5428,2642,294
157,5410,2642,455
157,5491,2642,132
158,5820,2631,23
158,5548,2631,185
158,5227,2631,237
158,5234,2631,10
158,5273,2631,561
158,5370,2631,53
158,5476,2631,350
159,5929,3264,77
159,5900,3264,2
159,5361,3264,283
161,5642,2096,573
161,5661,2096,75
161,5633,2096,444
161,5221,2096,229
161,5903,2096,3
161,5903,2096,3
161,5633,2096,444
161,5458,2096,1245
161,5838,2096,26
161,5642,2096,573
161,5220,2096,118
162,5250,3054,158
162,4834,3054,281
162,5302,3054,65
